Year,Position,Team,Points
2019,1,Mercedes,739
2019,2,Ferrari,504
2019,3,Red Bull Racing,417
2019,4,McLaren,145
2019,5,Renault,91
2019,6,Toro Rosso,85
2019,7,Racing Point,73
2019,8,Alfa Romeo Racing,57
2019,9,Haas F1 Team,28
2019,10,Williams,1
2020,1,Mercedes,573
2020,2,Red Bull Racing,319
2020,3,McLaren,202
2020,4,Racing Point,195
2020,5,Renault,181
2020,6,Ferrari,131
2020,7,AlphaTauri,107
2020,8,Alfa Romeo Racing,8
2020,9,Haas F1 Team,3
2020,10,Williams,0
2021,1,Mercedes,613.5
2021,2,Red Bull Racing,585.5
2021,3,Ferrari,323.5
2021,4,McLaren,275
2021,5,Alpine,155
2021,6,AlphaTauri,142
2021,7,Aston Martin,77
2021,8,Williams,23
2021,9,Alfa Romeo Racing,13
2021,10,Haas F1 Team,0
2022,1,Red Bull Racing,759
2022,2,Ferrari,554
2022,3,Mercedes,515
2022,4,Alpine,173
2022,5,McLaren,159
2022,6,Alfa Romeo,55
2022,7,Aston Martin,55
2022,8,Haas F1 Team,37
2022,9,AlphaTauri,35
2022,10,Williams,8
2023,1,Red Bull Racing,860
2023,2,Mercedes,409
2023,3,Ferrari,406
2023,4,McLaren,302
2023,5,Aston Martin,280
2023,6,Alpine,120
2023,7,Williams,28
2023,8,AlphaTauri,25
2023,9,Alfa Romeo,16
2023,10,Haas F1 Team,12
2024,1,McLaren,666
2024,2,Ferrari,652
2024,3,Red Bull Racing,589
2024,4,Mercedes,468
2024,5,Aston Martin,94
2024,6,Alpine,49
2024,7,Haas F1 Team,46
2024,8,RB,44
2024,9,Williams,17
2024,10,Kick Sauber,0
2025,1,McLaren,833
2025,2,Mercedes,469
2025,3,Red Bull Racing,451
2025,4,Ferrari,398
2025,5,Williams,137
2025,6,Racing Bulls,92
2025,7,Aston Martin,89
2025,8,Haas F1 Team,79
2025,9,Kick Sauber,70
2025,10,Alpine,20
